City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,bathsheba,13.2167,-59.5167,26.34,69,40,6.69,BB,1681348308
328,camacha,33.0833,-16.3333,15.68,72,20,3.6,PT,1681348298
329,grand gaube,-20.0064,57.6608,24.1,90,57,2.27,MU,1681348794
330,tyret pervaya,53.6703,102.3106,-2.56,49,19,2.66,RU,1681348794
331,rawson,-43.3002,-65.1023,7.92,53,2,4.8,AR,1681348794
332,cochrane,51.1834,-114.4687,4.39,54,95,1.92,CA,1681348521
333,san quintin,30.4833,-115.95,14.84,76,100,6.67,MX,1681348794
334,vostok,46.4856,135.8833,1.17,63,100,6.56,RU,1681348794
335,inndyr,67.0338,14.0276,9.02,80,100,6.49,NO,1681348794
336,arlit,18.7369,7.3853,25.37,11,97,4.27,NE,1681348794
337,kambove,-10.8764,26.5969,15.82,98,96,1.23,CD,1681348795
338,bilma,18.6853,12.9164,22.13,11,1,4.16,NE,1681348795
339,baikunthpur,23.25,82.55,25.0,20,100,1.01,IN,1681348756
340,anaconda,46.1285,-112.9423,1.69,93,100,2.47,US,1681348795
341,sakakah,29.9697,40.2064,12.53,54,0,6.74,SA,1681348152
342,nuuk,64.1835,-51.7216,-0.66,86,0,3.09,GL,1681348364
343,ngunguru,-35.6167,174.5,20.64,72,32,3.48,NZ,1681348795
344,shalya,57.2471,58.7298,1.25,86,4,2.37,RU,1681348795
345,cherskiy,68.75,161.3,-16.99,85,100,1.86,RU,1681348325
346,wangqing,43.3218,129.7634,10.47,26,99,1.45,CN,1681348795
347,cap malheureux,-19.9842,57.6142,24.15,90,47,2.15,MU,1681348795
348,labuhan,-6.8844,112.2051,26.94,81,100,2.57,ID,1681348302
349,sambava,-14.2667,50.1667,23.12,92,15,1.51,MG,1681348795
350,gizo,-8.103,156.8419,28.23,71,91,1.04,SB,1681348399
351,leningradskiy,69.3833,178.4167,-16.65,88,90,2.56,RU,1681348796
352,hobyo,5.3505,48.5268,27.65,75,100,3.76,SO,1681348796
353,misrikh,27.45,80.5167,26.58,24,95,2.99,IN,1681348796
354,beyneu,45.3167,55.2,18.59,41,85,9.01,KZ,1681348796
355,viljoenskroon,-27.2084,26.9485,11.35,62,84,2.6,ZA,1681348796
356,kahului,20.8947,-156.47,28.01,59,40,9.26,US,1681348298
357,lasa,46.6166,10.7002,7.23,98,100,0.84,IT,1681348385
358,cherdyn,60.403,56.4787,-0.76,93,100,3.42,RU,1681348797
359,misratah,32.3754,15.0925,17.24,49,0,4.98,LY,1681348797
360,cabra,37.4725,-4.4421,10.82,80,100,1.53,ES,1681348797
361,broome,42.2506,-75.833,19.28,53,0,3.86,US,1681348378
362,chapleau,47.8405,-83.4034,8.05,76,0,1.54,CA,1681348797
363,malgobek,43.5092,44.5931,13.94,77,100,4.34,RU,1681348797
364,varberg,57.1056,12.2508,7.25,83,100,8.02,SE,1681348797
365,sol-iletsk,51.1631,54.9918,10.03,59,100,4.36,RU,1681348797
